set_code,set_name,printed_set_abbrev,page_base,page_url,db_card_print_id,db_number,db_name,db_variant_key,db_set_code_other,db_set_name_other,bulba_number,bulba_name,bulba_lane,bulba_notes,reason
2018sm,Macdonald's Collection 2018,MCD,McDonald's Collection 2018,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2018_%28TCG%29,b2e98554-f3e8-43fa-b138-077a40163811,1,Growlithe,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2018sm,Macdonald's Collection 2018,MCD,McDonald's Collection 2018,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2018_%28TCG%29,3870ec04-e1f0-4d6d-8389-57b8b355ceb8,4,Pikachu,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2018sm,Macdonald's Collection 2018,MCD,McDonald's Collection 2018,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2018_%28TCG%29,2c4d39c2-bdca-48c9-a4bd-9bb0b09a5718,9,Dratini,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2018sm,Macdonald's Collection 2018,MCD,McDonald's Collection 2018,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2018_%28TCG%29,a5b90914-ef56-4d69-becb-30cdd440c367,12,Porygon,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2018sm,Macdonald's Collection 2018,MCD,McDonald's Collection 2018,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2018_%28TCG%29,defd3041-524f-4efe-bcec-2c07310a1181,10,Chansey,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2018sm,Macdonald's Collection 2018,MCD,McDonald's Collection 2018,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2018_%28TCG%29,25bacdca-16c7-4302-9b60-b2409b28267a,3,Horsea,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2018sm,Macdonald's Collection 2018,MCD,McDonald's Collection 2018,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2018_%28TCG%29,211dc4ba-b3a6-41fb-acb9-70d74afcbe11,8,Magnemite,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2018sm,Macdonald's Collection 2018,MCD,McDonald's Collection 2018,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2018_%28TCG%29,7054e862-bfbf-48ec-8a6d-4465cc2d5b31,2,Psyduck,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2019sm,Macdonald's Collection 2019,MCD,McDonald's Collection 2019,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2019_%28TCG%29,ff40827d-77f6-4e31-988d-afba990f7800,1,Caterpie,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2019sm,Macdonald's Collection 2019,MCD,McDonald's Collection 2019,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2019_%28TCG%29,c12dfa66-4248-4755-951e-b3c3a10b972e,3,Magmar,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
