set_code,set_name,printed_set_abbrev,db_card_print_id,db_number,db_name,db_variant_key,classification,reason
tk-ex-m,EX trainer Kit 2 (Minun),TK,42c54faf-7b8e-491f-b423-0d90242d5b38,4,Growlithe,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-m,EX trainer Kit 2 (Minun),TK,c6e61f28-2a4b-49fb-92ef-35e8d96b8202,5,Mareep,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-m,EX trainer Kit 2 (Minun),TK,66213815-23ba-439a-bbd3-41260248ecd6,6,Minun,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-m,EX trainer Kit 2 (Minun),TK,3ed168c7-8203-40bb-ae2d-f4a917f25b92,7,Vulpix,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-m,EX trainer Kit 2 (Minun),TK,d98df8c5-061e-4cc3-85bf-e0f662f50475,8,Celio's Network,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-m,EX trainer Kit 2 (Minun),TK,33896f9a-2037-43da-b032-048753e2b700,9,Energy Search,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-m,EX trainer Kit 2 (Minun),TK,1c42002e-17d2-4705-b479-49bde1d8b2e2,12,Lightning Energy,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-p,EX trainer Kit 2 (Plusle),TK,f55687f5-a1d5-447e-9c8e-63f96ad2ee65,12,Psychic Energy,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-p,EX trainer Kit 2 (Plusle),TK,46f9ada5-56dc-4098-ab66-4ffe86bc56c0,1,Beldum,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-p,EX trainer Kit 2 (Plusle),TK,0c6f6d1e-6b04-4e73-b598-9595efca8ef0,10,Professor Cozmo's Discovery,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-p,EX trainer Kit 2 (Plusle),TK,ff8c123f-f2a5-4b06-b334-d64afb1ba0d7,2,Electrike,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-p,EX trainer Kit 2 (Plusle),TK,0d676747-4cd1-4d1a-8dcf-d293f1d8786a,3,Grumpig,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-p,EX trainer Kit 2 (Plusle),TK,cc54b96c-60de-4e61-b664-879c5b95a421,4,Meowth,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-p,EX trainer Kit 2 (Plusle),TK,29b9ceca-25d8-42fb-851e-f637e764e511,5,Metang,,not_listed_on_bulbapedia_index,no_index_match
